#,Callsign,Departure_Time,Destination Info,Origin Info,Origin,Dest,Routing,Aircraft Type,Cruise Speed (knots),Max Ceiling (FL),Default RFL,Time Duration,Schedule Arrival Time,path
160,AK6058,10:00:20,WBGB,WBGG,(KCH),(BTU),WBGG_WBGB,A320,450,410,FL270,01:00:00,17:35:00,"[WBGG,VKG,VSI,ADGAB,VBU,WBGB]"
161,AK6180,10:00:30,WBGR,WBGG,(KCH),(MYY),WBGG_WBGR,A320,450,410,FL330,01:00:00,08:40:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,WBGR]"
162,AK6186,10:00:40,WBGR,WBGG,(KCH),(MYY),WBGG_WBGR,A320,450,410,FL330,01:00:00,15:15:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,WBGR]"
163,MH642,10:00:50,WBGR,WBGG,(KCH),(MYY),WBGG_WBGR,B738,460,410,FL310,01:00:00,16:00:00,"[WBGG,VKG,VSI,VBU,KADMO,VMI,WBGR]"
164,AK6188,10:01:00,WBGR,WBGG,(KCH),(MYY),WBGG_WBGR,A320,450,410,FL330,01:00:00,20:35:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,WBGR]"
165,MH3802,10:01:20,WBGR,WBGG,(KCH),(MYY),WBGG_WBGR,AT72,275,250,FL180,01:00:00,21:20:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,WBGR]"
166,MH3690,10:01:30,WBGS,WBGG,(KCH),(SBW),WBGG_WBGS,AT72,275,250,FL140,00:45:00,07:00:00,"[WBGG,VKG,VSI,WBGS]"
167,AK6462,10:01:40,WBGS,WBGG,(KCH),(SBW),WBGG_WBGS,A320,450,410,FL150,00:45:00,07:55:00,"[WBGG,VKG,VSI,WBGS]"
168,MH3692,10:01:50,WBGS,WBGG,(KCH),(SBW),WBGG_WBGS,AT72,275,250,FL140,00:45:00,11:35:00,"[WBGG,VKG,VSI,WBGS]"
169,AK6468,10:02:00,WBGS,WBGG,(KCH),(SBW),WBGG_WBGS,A320,450,410,FL150,00:45:00,12:45:00,"[WBGG,VKG,VSI,WBGS]"
170,MH3696,10:02:10,WBGS,WBGG,(KCH),(SBW),WBGG_WBGS,AT72,275,250,FL140,00:45:00,15:50:00,"[WBGG,VKG,VSI,WBGS]"
171,MH3694,10:02:20,WBGS,WBGG,(KCH),(SBW),WBGG_WBGS,AT72,275,250,FL140,00:45:00,17:45:00,"[WBGG,VKG,VSI,WBGS]"
172,AK6460,10:02:30,WBGS,WBGG,(KCH),(SBW),WBGG_WBGS,A320,450,410,FL150,00:45:00,18:05:00,"[WBGG,VKG,VSI,WBGS]"
173,AK6350,10:02:40,WBKK,WBGG,(KCH),(BKI),WBGG_WBKK,A320,450,410,FL370,01:30:00,07:40:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,BRU,VJN,WBKK]"
174,MH2806,10:02:50,WBKK,WBGG,(KCH),(BKI),WBGG_WBKK,B738,460,410,FL390,01:30:00,13:30:00,"[WBGG,VKG,VSI,VBU,VMI,BRU,VJN,WBKK]"
175,AK6354,10:03:20,WBKK,WBGG,(KCH),(BKI),WBGG_WBKK,A320,450,410,FL370,01:30:00,15:10:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,BRU,VJN,WBKK]"
176,AK6358,10:03:30,WBKK,WBGG,(KCH),(BKI),WBGG_WBKK,A320,450,410,FL370,01:30:00,22:05:00,"[WBGG,VKG,AGPOP,PILAX,SARVO,VMI,BRU,VJN,WBKK]"
177,AK5413,10:03:40,WMKJ,WBGG,(KCH),(JHB),WBGG_WMKJ,A320,450,410,FL380,01:25:00,10:15:00,"[WBGG,VKG,NIMIX,TOMAN,HOSBA,VTK,VJR,WMKJ]"
178,AK5417,10:03:50,WMKJ,WBGG,(KCH),(JHB),WBGG_WMKJ,A320,450,410,FL380,01:25:00,20:15:00,"[WBGG,VKG,NIMIX,TOMAN,HOSBA,VTK,VJR,WMKJ]"
179,AK5411,10:04:10,WMKJ,WBGG,(KCH),(JHB),WBGG_WMKJ,A320,450,410,FL380,01:25:00,23:15:00,"[WBGG,VKG,NIMIX,TOMAN,HOSBA,VTK,VJR,WMKJ]"
180,AK5433,10:04:20,WMKP,WBGG,(KCH),(PEN),WBGG_WMKP,A320,450,410,FL360,02:00:00,11:35:00,"[WBGG,VKG,AGOBA,SABIP,BOBOB,KETOD,OBDAB,VPK,ADNUT,PIBOS,VBA,SUKAT,TEPUS,VPG,WMKP]"
181,AK775,10:04:30,WSSS,WBGG,(KCH),(SIN),WBGG_WSSS,A320,450,410,FL320,01:25:00,11:15:00,"[WBGG,VKG,NIMIX,TOMAN,HOSBA,VTK,WSSS]"
